"Value Research Online"
"Date: 15-Jul-2015 13:36"
"Fund","Rating","1-Month Return","1-Month Rank","3-Month Return","3-Month Rank","1-Year Return","1-Year Rank","3-Year Return","3-Year Rank","5-Year Return","5-Year Rank","10-Year Return","10-Year Rank"
"Kotak 50 Regular Plan","* * * * ","6.46","39/147","-1.92","24/145","27.36","9/143","21.88","12/75","11.88","15/64","17.28","6/34"
"Kotak Banking ETF Fund Regular","Unrated","7.59","12/29","0.88","10/29","-","-","-","-","-","-","-","-"
"Kotak Classic Equity Regular Plan","* * ","5.89","101/135","-3.64","111/135","20.43","99/125","20.55","47/66","10.83","43/61","-","-"
"Kotak Emerging Equity Scheme Regular Plan","* * * ","7.38","74/114","-1.57","61/114","46.81","15/112","32.87","25/52","17.13","25/48","-","-"
"Kotak Global Emerging Market Regular Plan","Unrated","-6.81","-","-5.81","-","-0.95","-","11.43","-","10.19","-","-","-"
"Kotak Infrastructure and Economic Reform Fund - Standard Plan","* * * * ","6.42","36/43","-0.5","10/43","28.91","7/43","24.52","3/22","10.91","3/20","-","-"
"Kotak Mid-Cap Regular Plan","* * * ","8.88","45/114","0.71","16/114","41.1","41/112","29.11","37/52","16.38","30/48","16.57","17/20"
"Kotak Nifty ETF Fund","* * * ","6.16","56/147","-3.73","97/145","13.31","115/143","18.14","44/75","10.27","31/64","-","-"
"Kotak Opportunities Regular Plan","* * * ","7.28","39/135","-1.2","33/135","32.59","20/125","24.88","26/66","13.44","26/61","18.42","8/27"
"Kotak PSU Bank ETF","* ","6.84","23/29","-7.35","28/29","-1.01","23/23","2.5","13/13","-0.88","10/10","-","-"
"Kotak Select Focus Fund Regular Plan","* * * * ","7.25","42/135","-1.17","31/135","33.15","18/125","27.51","5/66","15.43","8/61","-","-"
"Kotak Sensex ETF Fund","* * * ","5.95","99/147","-3.2","72/145","12.8","124/143","18.78","34/75","10.43","30/64","-","-"
"Kotak Tax Saver Regular Plan","* * ","7.28","32/75","-2.01","38/75","37.51","7/73","22.08","27/37","11.99","25/36","-","-"
"Kotak US Equity Standard Fund","Unrated","-0.97","-","3.21","-","12.15","-","-","-","-","-","-","-"
"Kotak World Gold Fund - Standard Plan","Unrated","-10.21","-","-5.32","-","-35.61","-","-17.13","-","-10.15","-","-","-"
"L&T Business Cycles Fund - Non-Direct Plan","Unrated","8.34","16/61","-0.93","24/61","-","-","-","-","-","-","-","-"
"L&T Equity Fund","* * * ","5.66","109/135","-2.99","99/135","26.41","55/125","23.48","34/66","13.36","27/61","18.77","7/27"
"L&T Global Real Assets Fund","Unrated","-3.16","-","-2.06","-","-6.06","-","9.72","-","11.88","-","-","-"
"L&T India Large Cap Fund","* * * * * ","7.95","9/147","-1.07","10/145","26.4","11/143","22.57","8/75","12.91","6/64","-","-"
"L&T India Special Situations Fund","* * * * ","6.62","47/61","-1.96","42/61","29.14","22/56","25.39","9/28","15.36","5/26","-","-"
"L&T India Value Fund","* * * * * ","8.66","7/61","-0.8","22/61","37.21","5/56","33.4","2/28","17.71","2/26","-","-"
"L&T Indo Asia Fund","* * * * * ","5.54","122/147","-1.58","19/145","22.14","38/143","20.11","22/75","12.33","13/64","-","-"
"L&T Infrastructure Fund","* * * ","6.98","34/43","-0.61","12/43","24.07","18/43","23.48","5/22","7.82","7/20","-","-"
"L&T Midcap Fund","* * * * ","8.38","61/114","-1.5","58/114","39.47","48/112","33.53","23/52","17.64","23/48","18.31","10/20"
"L&T Tax Advantage Fund","* * * ","7.43","24/75","-0.56","11/75","26.01","47/73","22.94","22/37","13.11","17/36","-","-"
"L&T Tax Saver Fund","* * ","8.23","7/75","0.39","5/75","27.52","40/73","22.77","24/37","10.59","30/36","-","-"
"LIC Nomura MF Banking & Financial Services Fund - Regular Plan","Unrated","7.13","22/29","-1.08","25/29","-","-","-","-","-","-","-","-"
"LIC Nomura MF Equity Fund","* * ","4.45","138/147","-6.18","143/145","15.04","75/143","18.41","40/75","9.13","52/64","11.32","33/34"
"LIC Nomura MF Growth Fund","* * * ","6.69","29/147","-1.46","16/145","27.5","8/143","21.56","13/75","11.01","23/64","12.3","30/34"
"LIC Nomura MF Index-Nifty Plan","* * ","6.04","86/147","-3.81","105/145","13.27","116/143","17.21","60/75","9.6","43/64","11.41","31/34"
"LIC Nomura MF Index-Sensex Advantage Plan","Unrated","6.2","53/147","-3.41","85/145","16.46","66/143","19.07","32/75","10.15","34/64","11.34","32/34"
"LIC Nomura MF Index-Sensex Plan","* * * ","5.81","112/147","-3.46","87/145","11.44","136/143","17.44","56/75","9.42","46/64","12.32","29/34"
"LIC Nomura MF Infrastructure Fund","* * * ","7.02","33/43","-2.06","24/43","18.69","32/43","18.7","10/22","5.5","10/20","-","-"
"LIC Nomura MF Midcap Fund - Regular Plan","Unrated","7.5","71/114","-2.4","87/114","-","-","-","-","-","-","-","-"
"LIC Nomura MF Tax Plan","* * * ","6.06","61/75","-3.41","54/75","31.3","28/73","23.71","18/37","12.25","21/36","11.14","18/19"
"Mirae Asset China Advantage Fund","Unrated","-10.02","-","-10.92","-","13.55","-","15.27","-","10.54","-","-","-"
"Mirae Asset Emerging Bluechip Fund - Regular Plan","* * * * * ","9.19","37/114","1.11","14/114","45.68","20/112","38.64","5/52","25.1","1/48","-","-"
"Mirae Asset Global Commodity Stocks Fund","Unrated","-7.86","-","-8.8","-","-21.72","-","-2.76","-","-1.15","-","-","-"
"Mirae Asset India Opportunities Fund - Regular Plan","* * * * * ","7.49","30/135","-1.67","58/135","28.12","39/125","27.48","6/66","16.78","2/61","-","-"
"Mirae Asset India-China Consumption Fund - Regular Plan","* * * * ","2.73","61/61","-4.51","61/61","28.24","26/56","25.8","8/28","-","-","-","-"
"Motilal Oswal MOSt Focused 25 Fund - Regular Plan","Unrated","6.98","51/135","-1.4","44/135","34.06","13/125","-","-","-","-","-","-"
"Motilal Oswal MOSt Focused Long Term Fund - Regular Plan","Unrated","8.02","12/75","2.59","2/75","-","-","-","-","-","-","-","-"
"Motilal Oswal MOSt Focused Midcap 30 Fund - Regular Plan","Unrated","7.54","68/114","0.48","20/114","48.98","7/112","-","-","-","-","-","-"
"Motilal Oswal MOSt Focused Multicap 35 Fund - Regular Plan","Unrated","7.99","15/135","3.25","2/135","54.07","2/125","-","-","-","-","-","-"
"Motilal Oswal MOSt Shares M100 ETF Fund","* ","8.68","48/114","-1.4","55/114","28.27","89/112","22.7","48/52","-","-","-","-"
"Motilal Oswal MOSt Shares M50 ETF Fund","* ","6.07","73/147","-3.9","110/145","6.3","142/143","16.41","69/75","-","-","-","-"
"Motilal Oswal MOSt Shares NASDAQ - 100 ETF Fund","Unrated","-0.66","-","3.49","-","21.71","-","26.04","-","-","-","-","-"
"Peerless Equity Fund","* * * * ","8.93","6/147","0.71","2/145","23.64","33/143","19.19","30/75","-","-","-","-"
"PPFAS Long Term Value Fund - Regular Plan","Unrated","2.8","112/114","0.57","18/114","19.07","108/112","-","-","-","-","-","-"
"Pramerica Diversified Equity Fund - Regular Plan","Unrated","8.21","26/61","0.68","2/61","-","-","-","-","-","-","-","-"
"Pramerica Large Cap Equity Fund","* * ","7.42","17/147","-1.99","26/145","21.42","41/143","17.3","58/75","-","-","-","-"
"Pramerica Midcap Opportunities Fund - Regular Plan","Unrated","10.79","18/114","-1.77","67/114","35.23","73/112","-","-","-","-","-","-"
"Principal Dividend Yield Fund","* * ","7.36","31/61","-1.55","37/61","15.88","53/56","17.15","28/28","10.1","22/26","11.29","15/15"
"Principal Emerging Bluechip Fund","* * * ","8.45","59/114","-1.27","50/114","44.26","27/112","36.44","10/52","17.85","22/48","-","-"
"Principal Global Opportunities Fund","Unrated","-3.05","-","-5.73","-","-2.51","-","5.26","-","7.3","-","7.66","-"
"Principal Growth Fund","* * * ","8.25","23/61","-1.35","34/61","21.01","44/56","26.41","6/28","13.14","10/26","12.72","14/15"
"Principal Index Fund - Midcap - Regular Plan","Unrated","8.6","53/114","-1.39","54/114","27.74","91/112","-","-","-","-","-","-"
"Principal Index Fund - Nifty","* * ","6.05","79/147","-4","122/145","13.69","109/143","17.44","57/75","9.57","44/64","13.67","23/34"
"Principal Large Cap Fund","* * * ","5.8","114/147","-3.06","66/145","18.29","55/143","20.67","18/75","11.14","22/64","-","-"
"Principal Personal Tax Saver Fund","* * ","5.9","64/75","-3.06","47/75","18.44","66/73","20.91","32/37","10.09","34/36","14.19","13/19"
"Principal Tax Savings Fund","* * * ","8.36","4/75","-1.37","27/75","21.03","63/73","26.6","11/37","13.63","13/36","14.78","12/19"
"Quantum Equity FoF Fund","Unrated","6.11","95/135","-1.75","61/135","24.96","69/125","24.07","29/66","13.46","25/61","-","-"
"Quantum Index Fund","Unrated","6.14","64/147","-3.81","104/145","14.44","84/143","18.51","37/75","10.47","29/64","-","-"
"Quantum Long Term Equity Fund","* * * ","3.6","128/135","-1.17","32/135","13.55","115/125","20.48","48/66","13.33","28/61","-","-"
"Quantum Tax Saving Fund","* * * ","3.62","73/75","-1.84","35/75","14.12","70/73","20.36","34/37","13.03","18/36","-","-"
"R*Shares Banking ETF","* * * * ","7.57","14/29","0.89","8/29","30.63","7/23","22.28","4/13","14.74","2/10","-","-"
"R*Shares CNX 100 ETF","Unrated","6.41","43/147","-3.41","84/145","16.35","68/143","-","-","-","-","-","-"
"R*Shares Consumption ETF","Unrated","8.14","7/147","-0.04","5/145","24.78","24/143","-","-","-","-","-","-"
"R*Shares Dividend Opportunities ETF","Unrated","6.39","84/135","-2.64","95/135","5.74","125/125","-","-","-","-","-","-"
"R*Shares Nifty ETF","Unrated","6.14","61/147","-3.72","96/145","14.77","80/143","-","-","-","-","-","-"
"R*Shares NV20 ETF","Unrated","-","-","-","-","-","-","-","-","-","-","-","-"
"R*Shares Sensex ETF","Unrated","5.99","95/147","-3.17","70/145","-","-","-","-","-","-","-","-"
"Reliance Banking Fund","* * * * ","7.22","19/29","0.67","15/29","27.65","14/23","22.86","2/13","14.73","3/10","20.51","1/3"
"Reliance Diversified Power Sector Fund","Unrated","11.6","-","-1.46","-","8.02","-","12.59","-","-1.3","-","16.47","-"
"Reliance Equity Opportunities Fund","* * * ","5.82","105/114","-2.18","83/114","27.73","92/112","25.94","41/52","17.13","26/48","21.15","3/20"
"Reliance Focused Large Cap Fund","* * ","8.04","10/135","-1","26/135","25","67/125","24.18","28/66","10.21","46/61","-","-"
"Reliance Growth Fund","* * * ","8.25","24/61","-1.31","33/61","31.22","13/56","24.94","15/28","12.05","15/26","19.1","2/15"
"Reliance Index Fund - Nifty Plan","* * * ","6.01","91/147","-4.02","123/145","13.81","107/143","17.83","50/75","-","-","-","-"
"Reliance Index Fund - Sensex Plan","Unrated","5.8","115/147","-3.34","79/145","11.79","133/143","17.64","53/75","-","-","-","-"
"Reliance Japan Equity Fund","Unrated","-1.44","-","4.31","-","-","-","-","-","-","-","-","-"
"Reliance Media & Entertainment Fund","Unrated","11.82","-","-0.07","-","12.64","-","22.53","-","13.04","-","13.84","-"
"Reliance Mid & Small Cap Fund","* * * ","8.43","60/114","-3.03","98/114","35.27","72/112","31.43","29/52","16.85","28/48","-","-"
"Reliance NRI Equity Fund","* * * ","6.52","73/135","-1.25","35/135","24.3","78/125","22.96","37/66","12.77","34/61","17.99","10/27"
"Reliance Pharma Fund","Unrated","8.24","6/6","-4.27","4/6","43.81","6/6","32.4","3/3","20.8","3/3","25.64","1/3"
"Reliance Quant Plus Fund - Retail Plan","* * ","4.34","140/147","-5.21","137/145","10.48","141/143","16.41","70/75","10.02","37/64","-","-"
"Reliance Regular Savings Fund - Equity Option","* * * ","8.46","14/61","0.15","6/61","29.85","19/56","24.95","14/28","12.62","12/26","18.47","3/15"
"Reliance Retirement Fund - Wealth Creation Scheme","Unrated","8.14","8/135","0.18","10/135","-","-","-","-","-","-","-","-"
"Reliance Small Cap Fund","* * * * ","10.97","13/114","-1.25","46/114","36.94","61/112","38.12","7/52","-","-","-","-"
"Reliance Tax Saver Fund","* * * * ","7.45","23/75","-4.94","75/75","28.95","33/73","30.49","2/37","18.35","2/36","-","-"
"Reliance Top 200 Fund - Retail Plan","* * * ","7.8","24/135","-1.67","56/135","28.28","38/125","25.29","21/66","14.54","13/61","-","-"
"Reliance US Equity Opportunities Fund","Unrated","-","-","-","-","-","-","-","-","-","-","-","-"
"Reliance Vision Fund","* * ","6.67","45/61","-2.92","54/61","25.37","33/56","21.3","20/28","10.73","20/26","16.65","7/15"
"Religare Invesco AGILE Fund","* ","9.95","4/147","-3.03","63/145","13.19","118/143","13.27","74/75","10.21","33/64","-","-"
"Religare Invesco Banking Fund","* * * ","8.15","8/29","1.22","6/29","32.42","5/23","22.28","3/13","14.23","4/10","-","-"
"Religare Invesco Business Leaders Fund","* * * * ","6.2","52/147","-2.86","53/145","27.67","7/143","23.03","5/75","12.33","14/64","-","-"
"Religare Invesco Contra Fund","* * ","7.14","79/114","-1.95","72/114","31.27","81/112","28","38/52","14.59","38/48","-","-"
"Religare Invesco Dynamic Equity Fund","* * * ","6.58","69/135","-1.24","34/135","24.39","77/125","23.13","35/66","12.69","37/61","-","-"
"Religare Invesco Global Equity Income Fund - Regular Plan","Unrated","-1.29","-","1.96","-","5.3","-","-","-","-","-","-","-"
"Religare Invesco Growth Fund","* * * * ","6.48","76/135","-2.28","86/135","30.29","29/125","25.45","20/66","14.58","12/61","-","-"
"Religare Invesco Infrastructure Fund","* * * * * ","4.27","43/43","-6.1","41/43","28.87","8/43","27.02","2/22","10.62","4/20","-","-"
"Religare Invesco Mid Cap Fund","* * * * ","5.72","107/114","-2.05","76/114","38.49","54/112","34.27","18/52","20.72","11/48","-","-"
"Religare Invesco Mid N Small Cap Fund","* * * * ","6.06","97/114","-2.34","86/114","36.9","62/112","35.47","14/52","21.68","7/48","-","-"
"Religare Invesco Nifty Exchange Traded Fund","Unrated","6.1","70/147","-3.89","109/145","13.95","102/143","18.01","48/75","-","-","-","-"
"Religare Invesco Pan European Equity Fund - Regular Plan","Unrated","-2.13","-","2.86","-","2.53","-","-","-","-","-","-","-"
"Religare Invesco PSU Equity Fund","Unrated","7.65","-","1.99","-","21.4","-","13.7","-","5.57","-","-","-"
"Religare Invesco Tax Plan","* * * * ","5.93","63/75","-1.39","29/75","33.27","19/73","28.4","7/37","16.44","6/36","-","-"
"Sahara Banking and Financial Services Fund","* * * ","7.17","20/29","1.35","5/29","23.69","19/23","18.18","8/13","10.76","7/10","-","-"
"Sahara Growth Fund","* ","6.51","75/135","-2.12","74/135","6.68","124/125","15.8","63/66","8.68","59/61","16.43","22/27"
"Sahara Infrastructure Fund - Fixed Pricing Option","* ","9.39","10/43","0.35","4/43","10.84","39/43","13.38","20/22","2.74","17/20","-","-"
"Sahara Infrastructure Fund - Variable Pricing Option","* * ","9.59","8/43","0.83","2/43","12.22","37/43","14.57","17/22","3.74","14/20","-","-"
"Sahara Midcap Fund","* ","10.62","21/114","-3.17","99/114","21.18","106/112","23.98","46/52","12.34","43/48","16.86","16/20"
"Sahara Power & Natural Resources Fund","Unrated","8.24","-","-1.07","-","3.13","-","11.11","-","2.82","-","-","-"
"Sahara R.E.A.L Fund","Unrated","7.25","-","-3.83","-","26.7","-","24.58","-","11.71","-","-","-"
"Sahara Star Value Fund","Unrated","10.82","17/114","-1.96","73/114","3.81","111/112","15.45","52/52","7.39","47/48","-","-"
"Sahara Super 20 Fund","Unrated","7.88","11/147","0.06","4/145","10.94","139/143","14.44","72/75","8.39","60/64","-","-"
"Sahara Tax Gain Fund","* ","7.4","26/75","-0.4","7/75","11.38","73/73","18.9","35/37","11.43","29/36","17.47","4/19"
"Sahara Wealth Plus Fund - Fixed Pricing Option","* * * * ","7.11","36/61","-2.61","49/61","24.07","39/56","24.04","16/28","13.38","9/26","-","-"
"Sahara Wealth Plus Fund - Variable Pricing Option","* * * * ","7.3","33/61","-2.13","46/61","25.65","31/56","25.36","11/28","14.48","6/26","-","-"
"SBI Banking & Financial Services Fund - Regular Plan","Unrated","7.73","11/29","-0.64","21/29","-","-","-","-","-","-","-","-"
"SBI Bluechip Fund","* * * * ","7.11","49/135","-1.58","54/135","30.6","26/125","27.62","2/66","14.81","9/61","-","-"
"SBI Contra Fund","* * ","6.46","78/135","-5.4","128/135","24.27","79/125","19.81","53/66","8.84","57/61","16.78","18/27"
"SBI Emerging Businesses Fund","* * * ","6.9","84/114","-3.63","102/114","24.4","104/112","23.41","47/52","19.2","17/48","17.43","13/20"
"SBI ETF Banking Fund","Unrated","7.56","15/29","0.87","11/29","-","-","-","-","-","-","-","-"
"SBI ETF BSE 100 Fund","Unrated","6.41","42/147","-4","121/145","-","-","-","-","-","-","-","-"
"SBI ETF Nifty Junior Fund","Unrated","8.76","3/61","0.09","7/61","-","-","-","-","-","-","-","-"
"SBI FMCG Fund","Unrated","5.81","4/4","-4.43","3/4","19.59","4/4","20.56","1/2","22.1","1/2","20.1","2/2"
"SBI Infrastructure Fund","* ","8.52","13/43","-5.39","39/43","21.06","26/43","15.38","16/22","2.56","18/20","-","-"
"SBI IT Fund","Unrated","0.41","9/10","-10.34","10/10","18.91","3/10","28","2/5","16.23","2/5","15.34","3/5"
"SBI Magnum COMMA Fund","Unrated","5.7","-","-5.48","-","2.54","-","7.62","-","0.93","-","-","-"
"SBI Magnum Equity Fund","* * * * ","6.45","40/147","-2.85","52/145","24.58","27/143","21.19","14/75","12.53","10/64","18.45","3/34"
"SBI Magnum Global Fund","* * * * ","7.18","78/114","-2.75","94/114","39.35","50/112","33.31","24/52","19.94","13/48","20.91","4/20"
"SBI Magnum Midcap Fund","* * * * * ","9.05","42/114","2.11","5/114","48.51","8/112","40.8","3/52","21.79","6/48","18.42","9/20"
"SBI Magnum Multicap Fund","* * * ","7.46","31/135","-2.22","81/135","34.74","10/125","27","8/66","12.87","32/61","-","-"
"SBI Magnum Multiplier Fund","* * * * ","7.27","41/135","-0.67","17/135","33.68","16/125","27.47","7/66","14.43","15/61","20.03","4/27"
"SBI Magnum Taxgain Scheme","* * * ","6.34","57/75","-1.13","18/75","26.8","43/73","25.51","14/37","14.1","12/36","17.58","3/19"
"SBI Nifty Index Fund","* * ","5.99","97/147","-4.07","125/145","12.79","125/143","16.89","66/75","9.24","49/64","13.55","25/34"
"SBI Pharma Fund","Unrated","12.06","2/6","-2.72","2/6","59.22","2/6","42.22","1/3","28.46","1/3","19.49","2/3"
"SBI PSU Fund","Unrated","5.34","-","-1.94","-","2.28","-","5.82","-","-0.83","-","-","-"
"SBI Sensex ETF","Unrated","5.94","101/147","-2.25","29/145","14.04","100/143","-","-","-","-","-","-"
"SBI Small & Midcap Fund","Unrated","11.83","4/114","2.89","2/114","63.53","2/112","43.12","1/52","23.7","2/48","-","-"
"Sundaram Entertainment Opportunities Fund - Regular Plan","Unrated","10.13","-","1.93","-","17.84","-","21.07","-","4.95","-","-","-"
"Sundaram Equity Multiplier Fund","* * ","7.88","64/114","-2.02","75/114","27.73","93/112","20.75","50/52","10.8","45/48","-","-"
"Sundaram Equity Plus Fund","Unrated","3.75","-","-3.88","-","7.74","-","8.7","-","-","-","-","-"
"Sundaram Financial Services Opportunities Fund - Regular Plan","* * ","6.53","28/29","-0.6","20/29","28.93","11/23","18.02","9/13","10.17","8/10","-","-"
"Sundaram Global Advantage Fund","Unrated","-4.54","-","-6.96","-","-10.87","-","4.21","-","6.34","-","-","-"
"Sundaram Growth Fund - Regular Plan","* ","6.26","87/135","-8.78","135/135","7.37","122/125","13.53","66/66","6.52","60/61","12.78","27/27"
"Sundaram Infrastructure Advantage Fund - Regular Plan","Unrated","10.55","1/43","0.26","5/43","26.63","14/43","14.57","18/22","0.6","19/20","-","-"
"Sundaram PSU Opportunities Fund","Unrated","6.47","-","-1.39","-","11.22","-","8.04","-","2.87","-","-","-"
"Sundaram Rural India Fund - Regular Plan","Unrated","7.81","-","0.33","-","28.77","-","22.37","-","12.6","-","-","-"
"Sundaram S.M.I.L.E. Fund - Regular Plan","* * ","11","11/114","-5.17","114/114","46.67","16/112","33.64","21/52","16.22","31/48","19.62","6/20"
"Sundaram Select Focus Fund - Regular Plan","* ","6.14","63/147","-2.75","45/145","14.95","76/143","17.57","54/75","8.3","61/64","15.71","11/34"
"Sundaram Select Midcap Fund - Regular Plan","* * * ","9.21","34/114","1.16","12/114","40.52","45/112","33.78","20/52","19.12","19/48","23","1/20"
"Sundaram Taxsaver","* * ","8.29","6/75","-0.56","12/75","27.91","36/73","21.75","29/37","11.93","26/36","17.38","5/19"
"Tata Dividend Yield Fund - Plan A","* * * ","6.48","50/61","-2.93","55/61","27.35","28/56","20.76","21/28","13.81","7/26","17.1","6/15"
"Tata Equity Opportunities Fund - Plan A","* * * ","7.72","26/135","-2.07","72/135","30","32/125","24.96","24/66","13.51","24/61","16.73","19/27"
"Tata Equity PE Fund - Plan A","* * ","6.42","91/114","-4.18","109/114","26.54","100/112","26.52","39/52","13.89","39/48","19.05","8/20"
"Tata Ethical Fund - Plan A","* * * * * ","6.45","53/61","-1.99","43/61","30.09","16/56","27.78","4/28","15.74","4/26","18.07","4/15"
"Tata Index Nifty Fund - Plan A","* * ","6.08","72/147","-3.94","116/145","13.07","121/143","17.03","65/75","9.33","47/64","14.71","17/34"
"Tata Index Sensex Fund - Plan A","* * ","5.86","108/147","-3.44","86/145","11.42","137/143","17.18","62/75","9.1","53/64","13.61","24/34"
"Tata Infrastructure Fund - Plan A","* * * ","8.36","16/43","-2.53","31/43","27.3","11/43","17.33","13/22","5.23","12/20","14.23","2/3"
"Tata Midcap Growth Plan A Fund","* * * ","8.62","51/114","-2.66","93/114","44.77","25/112","35.14","15/52","18.72","20/48","17.4","15/20"
"Tata Pure Equity Fund - Plan A","* * * * ","7.23","22/147","-1.5","18/145","22.72","36/143","20.42","20/75","11.71","18/64","17.23","7/34"
"Tata Retirement Savings Fund - Progressive Plan - Plan A","* * ","6.79","58/135","-3.98","120/135","27.75","43/125","20.69","46/66","-","-","-","-"
"Tata Tax Saving Fund","* * * * ","7.8","15/75","-2.31","41/75","31.87","27/73","25.34","15/37","15.34","8/36","14.83","11/19"
"Taurus Banking & Financial Services Fund - Regular Plan","* * ","7.55","16/29","-2.21","27/29","20.53","21/23","15.99","11/13","-","-","-","-"
"Taurus Bonanza Fund - Regular Plan","* ","6.87","54/135","-0.88","23/135","25.38","63/125","19.28","56/66","9.5","52/61","13.01","26/27"
"Taurus Discovery Fund - Regular Plan","* * ","8.47","57/114","-0.28","33/114","38.69","53/112","32.06","27/52","15.01","35/48","9.1","20/20"
"Taurus Ethical Fund - Regular Plan","* * * ","4.95","115/135","-3.97","119/135","27.26","46/125","24.89","25/66","12.45","39/61","-","-"
"Taurus Infrastructure Fund - Regular Plan","* * * ","7.15","32/43","-2.56","32/43","21.61","25/43","18.28","11/22","5.43","11/20","-","-"
"Taurus Nifty Index Fund - Regular Plan","Unrated","5.99","96/147","-3.96","120/145","13.42","112/143","17.17","63/75","9.08","54/64","-","-"
"Taurus Starshare Fund - Regular Plan","* * ","7.29","38/135","-1.41","45/135","24.14","81/125","21.65","40/66","12.09","41/61","16.37","23/27"
"Taurus Tax Shield Fund - Regular Plan","* ","7.99","13/75","-1.9","37/75","21.43","61/73","18.88","36/37","10.46","31/36","12.43","16/19"
"Templeton India Equity Income Fund","* * ","1.33","114/114","-3.96","106/114","15.96","110/112","20.23","51/52","12.75","41/48","-","-"
"Templeton India Growth Fund","* * ","6.85","38/61","0.26","5/61","22.26","42/56","20.38","22/28","10.43","21/26","17.2","5/15"
"Union KBC Equity Fund","* * ","5.88","104/135","-4.99","126/135","14.41","113/125","19.66","55/66","-","-","-","-"
"Union KBC Small and Midcap Fund - Regular Plan","Unrated","7.43","72/114","-1.62","63/114","26.82","99/112","-","-","-","-","-","-"
"Union KBC Tax Saver Fund","* * * ","6.33","58/75","-3.85","61/75","21.18","62/73","23.47","19/37","-","-","-","-"
"UTI Banking Sector Fund - Regular Plan","* * * ","9.02","6/29","0.88","9/29","26.97","16/23","18.23","7/13","11.96","6/10","17.17","3/3"
"UTI Dividend Yield Fund","* ","4.57","121/135","-3.7","114/135","14.11","114/125","15.45","64/66","9.99","48/61","16.92","17/27"
"UTI Energy Fund","Unrated","6.61","-","0.23","-","5.37","-","11.92","-","1.9","-","-","-"
"UTI Equity Fund","* * * * * ","6.93","27/147","-2.91","56/145","24.95","23/143","23.75","2/75","15.28","2/64","17.34","5/34"
"UTI Equity Tax Savings Fund","* * ","6.8","42/75","-3.29","51/75","22.55","53/73","20.61","33/37","11.45","28/36","12.52","15/19"
"UTI India Lifestyle Fund","Unrated","5.13","-","-4.77","-","16.52","-","17.99","-","12.74","-","-","-"
"UTI Infrastructure Fund","* * ","7.18","30/43","-0.86","14/43","22.67","21/43","18.76","9/22","4.69","13/20","12.65","3/3"
"UTI Leadership Equity Fund","* * * ","6.5","38/147","-3.92","111/145","19.52","49/143","20.49","19/75","10.98","24/64","-","-"
"UTI Mastershare Fund","* * * * ","6","93/147","-4.41","130/145","23.9","31/143","20.97","15/75","12.37","12/64","15.51","14/34"
"UTI Mid Cap Fund","* * * * ","9.2","35/114","-1.45","57/114","45.03","24/112","38.3","6/52","20.75","10/48","18.13","11/20"
"UTI MNC Fund","Unrated","7.44","-","-0.08","-","51.06","-","32.64","-","22.79","-","20.43","-"
"UTI Multi Cap Fund - Regular Plan","Unrated","6.17","94/135","-3.37","105/135","-","-","-","-","-","-","-","-"
"UTI Nifty Index Fund","* * * ","6.06","76/147","-3.95","119/145","14.11","97/143","17.79","51/75","9.61","42/64","14.43","20/34"
"UTI Opportunities Fund","* * * * * ","5.01","130/147","-5.39","139/145","16.94","64/143","19.44","27/75","14.27","4/64","-","-"
"UTI Pharma & Healthcare Fund","Unrated","10.6","4/6","-6.72","6/6","44.6","5/6","32.58","2/3","21.46","2/3","18.45","3/3"
"UTI Top 100 Fund","* * * * ","6.64","32/147","-3.36","81/145","25.93","15/143","21.96","11/75","13.03","5/64","-","-"
"UTI Transportation and Logistics Fund","Unrated","5.87","-","-4.07","-","39.7","-","44.44","-","26.51","-","20.14","-"
"UTI Wealth Builder Fund - Series II - Retail Plan","Unrated","3.67","-","-4.26","-","7.53","-","9.65","-","9.67","-","-","-"
