"Value Research Online"
"Date: 28-Jul-2015 14:48"
"Fund","Rating","1-Month Return","1-Month Rank","3-Month Return","3-Month Rank","1-Year Return","1-Year Rank","3-Year Return","3-Year Rank","5-Year Return","5-Year Rank","10-Year Return","10-Year Rank"
"JP Morgan India Top 100 Fund - Regular Plan","Unrated","0.31","68/148","3.55","66/145","16.59","41/143","-","-","-","-","-","-"
"JP Morgan JF ASEAN Equity Off-shore Fund","Unrated","-2.65","-","-9.59","-","-6.91","-","7.86","-","-","-","-","-"
"JP Morgan JF Greater China Equity Off-shore Fund","Unrated","-9.18","-","-14.96","-","6.57","-","17.39","-","12.97","-","-","-"
"JP Morgan US Value Equity Off-shore Fund - Regular Plan","Unrated","-1.77","-","-2.39","-","9.08","-","-","-","-","-","-","-"
"Kotak 50 Regular Plan","* * * * ","1.66","24/148","5.83","18/145","22.14","5/143","22.45","11/75","11.82","15/64","16.68","8/35"
"Kotak Banking ETF Fund Regular","Unrated","-0.56","17/29","3.52","11/29","-","-","-","-","-","-","-","-"
"Kotak Classic Equity Regular Plan","* * ","0.57","92/135","3.02","113/135","15.63","100/125","21.94","44/66","10.5","43/61","13.64","26/28"
"Kotak Emerging Equity Scheme Regular Plan","* * * ","2.71","69/114","7.6","65/114","41.44","17/112","34.48","25/52","16.87","26/48","-","-"
"Kotak Global Emerging Market Regular Plan","Unrated","-9.81","-","-10.78","-","-7.16","-","9.61","-","8.38","-","-","-"
"Kotak Infrastructure and Economic Reform Fund - Standard Plan","* * * * ","2.21","20/43","6.25","16/43","23.92","7/43","25.3","3/22","10.85","3/20","-","-"
"Kotak Mid-Cap Regular Plan","* * * ","2.51","74/114","9.4","34/114","35.68","45/112","30.36","37/52","16.06","31/48","15.86","17/20"
"Kotak Nifty ETF Fund","* * * ","0.03","77/148","2.55","79/145","7.34","117/143","18.71","45/75","9.88","31/64","-","-"
"Kotak Opportunities Regular Plan","* * * ","1.45","49/135","7.88","16/135","26.57","20/125","25.37","24/66","13.07","27/61","17.45","9/28"
"Kotak PSU Bank ETF","* ","-1.89","28/29","-6.01","28/29","-8.89","23/23","5.44","13/13","-1.92","10/10","-","-"
"Kotak Select Focus Fund Regular Plan","* * * * ","1.97","28/135","7.32","21/135","27.99","12/125","28.16","2/66","15.52","4/61","-","-"
"Kotak Sensex ETF Fund","* * * ","-0.61","129/148","2.25","111/145","6.68","128/143","19.15","36/75","10","30/64","-","-"
"Kotak Tax Saver Regular Plan","* * ","1.36","40/75","6.83","27/75","31.26","5/73","23.04","27/37","11.71","24/36","-","-"
"Kotak US Equity Standard Fund","Unrated","-1.77","-","-1.66","-","9.82","-","-","-","-","-","-","-"
"Kotak World Gold Fund - Standard Plan","Unrated","-20.54","-","-23.37","-","-45.01","-","-22.68","-","-12.35","-","-","-"
"L&T Business Cycles Fund - Non-Direct Plan","Unrated","1.63","34/61","7.37","25/61","-","-","-","-","-","-","-","-"
"L&T Equity Fund","* * * ","0.48","97/135","4.15","92/135","20.74","54/125","23.86","35/66","12.86","30/61","18.03","7/28"
"L&T Global Real Assets Fund","Unrated","-5.9","-","-9.85","-","-10.36","-","6.85","-","10.19","-","-","-"
"L&T India Large Cap Fund","* * * * * ","1.09","42/148","7.61","7/145","20.48","12/143","22.92","8/75","12.27","9/64","-","-"
"L&T India Special Situations Fund","* * * * ","0.73","53/61","6.28","34/61","23.22","26/56","25.89","15/28","14.86","5/26","-","-"
"L&T India Value Fund","* * * * * ","3.73","9/61","9.6","7/61","32.34","4/56","34.57","2/28","17.73","2/26","-","-"
"L&T Indo Asia Fund","* * * * * ","0.26","69/148","3.42","67/145","17.5","35/143","19.97","28/75","11.82","14/64","-","-"
"L&T Infrastructure Fund","* * * ","2.83","15/43","7.94","8/43","21.16","15/43","24.61","5/22","7.65","7/20","-","-"
"L&T Midcap Fund","* * * * ","3.18","53/114","9.27","36/114","35.55","47/112","34.55","24/52","17.48","23/48","17.89","10/20"
"L&T Tax Advantage Fund","* * * ","2.14","21/75","7.37","16/75","21.25","41/73","23.53","23/37","12.68","18/36","-","-"
"L&T Tax Saver Fund","* * ","3.54","1/75","10.08","3/75","23.63","30/73","24.11","19/37","10.52","30/36","-","-"
"LIC Nomura MF Banking & Financial Services Fund - Regular Plan","Unrated","-1.28","25/29","-0.56","27/29","-","-","-","-","-","-","-","-"
"LIC Nomura MF Equity Fund","* * ","-0.33","117/148","0.59","139/145","9.07","82/143","18.93","38/75","8.85","49/64","10.74","34/35"
"LIC Nomura MF Growth Fund","* * * ","-0.58","126/148","4.9","38/145","19.63","17/143","21.68","15/75","10.51","25/64","11.65","31/35"
"LIC Nomura MF Index-Nifty Plan","* * ","-0.09","105/148","2.39","93/145","7.28","119/143","17.75","62/75","9.2","42/64","10.77","33/35"
"LIC Nomura MF Index-Sensex Advantage Plan","Unrated","-0.37","118/148","2.53","80/145","9.63","78/143","19.44","34/75","9.76","33/64","10.82","32/35"
"LIC Nomura MF Index-Sensex Plan","* * * ","-0.77","141/148","1.9","128/145","5.38","138/143","17.8","60/75","8.99","46/64","11.68","30/35"
"LIC Nomura MF Infrastructure Fund","* * * ","0.9","32/43","5.32","21/43","11.49","33/43","19.7","10/22","5.24","10/20","-","-"
"LIC Nomura MF Midcap Fund - Regular Plan","Unrated","3.36","48/114","8.93","41/114","-","-","-","-","-","-","-","-"
"LIC Nomura MF Tax Plan","* * * ","0.09","64/75","4.14","61/75","22.89","35/73","24.32","18/37","11.82","22/36","10.5","18/19"
"Mirae Asset China Advantage Fund","Unrated","-8.43","-","-15.69","-","6.33","-","13.81","-","9.05","-","-","-"
"Mirae Asset Emerging Bluechip Fund - Regular Plan","* * * * * ","3.15","56/114","10.62","22/114","41.94","16/112","39.95","6/52","24.71","1/48","-","-"
"Mirae Asset Global Commodity Stocks Fund","Unrated","-10.23","-","-16.7","-","-27.41","-","-4.5","-","-2.53","-","-","-"
"Mirae Asset India Opportunities Fund - Regular Plan","* * * * * ","1.47","47/135","6.06","42/135","22.79","39/125","28.11","3/66","16.53","2/61","-","-"
"Mirae Asset India-China Consumption Fund - Regular Plan","* * * * ","0.05","61/61","1.25","61/61","24.79","22/56","25.96","14/28","-","-","-","-"
"Motilal Oswal MOSt Focused 25 Fund - Regular Plan","Unrated","1.7","34/135","7.59","19/135","28.26","10/125","-","-","-","-","-","-"
"Motilal Oswal MOSt Focused Long Term Fund - Regular Plan","Unrated","3.38","3/75","13.71","2/75","-","-","-","-","-","-","-","-"
"Motilal Oswal MOSt Focused Midcap 30 Fund - Regular Plan","Unrated","2.49","75/114","15.52","2/114","48.2","6/112","-","-","-","-","-","-"
"Motilal Oswal MOSt Focused Multicap 35 Fund - Regular Plan","Unrated","2.41","15/135","13.21","2/135","47.58","2/125","-","-","-","-","-","-"
"Motilal Oswal MOSt Shares M100 ETF Fund","* ","2.8","65/114","8.56","47/114","24.37","87/112","24.78","48/52","-","-","-","-"
"Motilal Oswal MOSt Shares M50 ETF Fund","* ","-0.04","95/148","2.32","102/145","1.95","142/143","17.34","68/75","-","-","-","-"
"Motilal Oswal MOSt Shares NASDAQ - 100 ETF Fund","Unrated","1.58","-","1.16","-","21.71","-","26.61","-","-","-","-","-"
"Peerless Equity Fund","* * * * ","1.86","15/148","8.37","4/145","16.8","37/143","19.84","29/75","-","-","-","-"
"PPFAS Long Term Value Fund - Regular Plan","Unrated","0.38","112/114","3.18","110/114","14.59","108/112","-","-","-","-","-","-"
"Pramerica Diversified Equity Fund - Regular Plan","Unrated","2.26","24/61","8.32","17/61","-","-","-","-","-","-","-","-"
"Pramerica Large Cap Equity Fund","* * ","1.15","37/148","5.16","29/145","16.14","43/143","18.14","53/75","-","-","-","-"
"Pramerica Midcap Opportunities Fund - Regular Plan","Unrated","4.14","31/114","8.92","42/114","30.66","73/112","-","-","-","-","-","-"
"Principal Dividend Yield Fund","* * ","1.07","48/61","6.05","37/61","12.14","53/56","18.03","28/28","9.6","23/26","10.75","15/15"
"Principal Emerging Bluechip Fund","* * * ","1.94","87/114","9.03","38/114","39","28/112","37.36","11/52","17.66","22/48","-","-"
"Principal Global Opportunities Fund","Unrated","-6.67","-","-12.4","-","-7.29","-","3.67","-","5.84","-","7.02","-"
"Principal Growth Fund","* * * ","1.32","39/61","6.82","29/61","16.9","44/56","27.42","6/28","12.9","9/26","12.1","14/15"
"Principal Index Fund - Midcap - Regular Plan","Unrated","2.74","68/114","8.5","48/114","23.9","88/112","-","-","-","-","-","-"
"Principal Index Fund - Nifty","* * ","-0.07","104/148","2.25","108/145","7.67","113/143","18","57/75","9.18","43/64","12.96","24/35"
"Principal Large Cap Fund","* * * ","1.38","31/148","4.87","39/145","14.03","51/143","21.5","17/75","11.15","21/64","-","-"
"Principal Personal Tax Saver Fund","* * ","1.4","38/75","4.96","57/75","14.23","66/73","21.75","32/37","10.02","33/36","13.73","13/19"
"Principal Tax Savings Fund","* * * ","1.3","42/75","6.84","26/75","16.79","60/73","27.58","9/37","13.34","15/36","14.14","12/19"
"Quantum Equity FoF Fund","Unrated","1","71/135","5.31","63/135","20.01","62/125","25.08","27/66","13.14","26/61","-","-"
"Quantum Index Fund","Unrated","0","86/148","2.46","87/145","8.39","91/143","19.07","37/75","10.07","29/64","-","-"
"Quantum Long Term Equity Fund","* * * ","0.21","111/135","3.8","103/135","11.45","106/125","21.35","47/66","13.15","25/61","-","-"
"Quantum Tax Saving Fund","* * * ","0.21","61/75","4.01","63/75","11.61","67/73","21.25","34/37","12.87","17/36","-","-"
"R*Shares Banking ETF","* * * * ","-0.57","18/29","3.5","12/29","19.8","11/23","22.79","3/13","13.73","3/10","-","-"
"R*Shares CNX 100 ETF","Unrated","0.44","63/148","3.22","70/145","10.57","69/143","-","-","-","-","-","-"
"R*Shares Consumption ETF","Unrated","2.89","3/148","8.61","3/145","21.09","8/143","-","-","-","-","-","-"
"R*Shares Dividend Opportunities ETF","Unrated","0.09","114/135","1.57","123/135","1.68","125/125","-","-","-","-","-","-"
"R*Shares Nifty ETF","Unrated","0.04","74/148","2.57","77/145","8.75","87/143","-","-","-","-","-","-"
"R*Shares NV20 ETF","Unrated","-1.02","145/148","-","-","-","-","-","-","-","-","-","-"
"R*Shares Sensex ETF","Unrated","-0.58","127/148","2.31","104/145","-","-","-","-","-","-","-","-"
"Reliance Banking Fund","* * * * ","0.13","8/29","4.51","8/29","19.89","10/23","23.98","2/13","14.03","2/10","19.29","1/3"
"Reliance Diversified Power Sector Fund","Unrated","4.95","-","7.49","-","3.59","-","14.77","-","-1.36","-","15.71","-"
"Reliance Equity Opportunities Fund","* * * ","1.63","96/114","4.95","106/114","22.94","95/112","27.05","43/52","16.85","27/48","20.39","4/20"
"Reliance Focused Large Cap Fund","* * ","1.8","31/135","6.13","39/135","18.95","78/125","25.01","29/66","9.86","46/61","-","-"
"Reliance Growth Fund","* * * ","4.16","5/61","9.87","5/61","27","12/56","26.87","10/28","12.19","14/26","18.59","2/15"
"Reliance Index Fund - Nifty Plan","* * * ","-0.16","110/148","2.15","119/145","7.71","111/143","18.35","49/75","-","-","-","-"
"Reliance Index Fund - Sensex Plan","Unrated","-0.66","135/148","1.89","129/145","5.79","136/143","18.01","56/75","-","-","-","-"
"Reliance Japan Equity Fund","Unrated","-1.24","-","-1.73","-","-","-","-","-","-","-","-","-"
"Reliance Media & Entertainment Fund","Unrated","6.73","-","9.17","-","13.35","-","23.75","-","13.44","-","13.66","-"
"Reliance Mid & Small Cap Fund","* * * ","5.89","13/114","7.15","73/114","30.92","72/112","33.21","31/52","16.79","29/48","-","-"
"Reliance NRI Equity Fund","* * * ","0.53","95/135","4.44","90/135","17.62","94/125","23.56","37/66","12.46","37/61","17.45","8/28"
"Reliance Pharma Fund","Unrated","3.01","2/6","5.44","4/6","37.6","4/6","31.98","2/3","21.08","2/3","24.98","1/3"
"Reliance Quant Plus Fund - Retail Plan","* * ","-0.55","124/148","0.15","143/145","4.28","141/143","16.7","70/75","9.38","36/64","-","-"
"Reliance Regular Savings Fund - Equity Option","* * * ","4.49","2/61","10.07","2/61","25.98","17/56","26.92","9/28","12.6","12/26","18.54","3/15"
"Reliance Retirement Fund - Wealth Creation Scheme","Unrated","1.44","50/135","4.9","77/135","-","-","-","-","-","-","-","-"
"Reliance Small Cap Fund","* * * * ","5.69","15/114","8.58","46/114","33.18","61/112","40.08","5/52","-","-","-","-"
"Reliance Tax Saver Fund","* * * * ","-0.52","73/75","-0.02","75/75","21.82","40/73","30.46","3/37","17.49","2/36","-","-"
"Reliance Top 200 Fund - Retail Plan","* * * ","1.46","48/135","4.89","78/135","22.24","43/125","25.92","21/66","14.36","12/61","-","-"
"Reliance US Equity Opportunities Fund","Unrated","-","-","-","-","-","-","-","-","-","-","-","-"
"Reliance Vision Fund","* * ","0.39","59/61","2.31","59/61","20.32","37/56","22.31","20/28","10.38","21/26","15.96","7/15"
"Religare Invesco AGILE Fund","* ","2.27","10/148","5.94","16/145","5.23","139/143","13.27","74/75","9.13","45/64","-","-"
"Religare Invesco Banking Fund","* * * ","0.57","6/29","5.64","6/29","25.07","4/23","22.73","4/13","13.67","4/10","-","-"
"Religare Invesco Business Leaders Fund","* * * * ","1.48","29/148","4.93","35/145","20.95","9/143","23.53","5/75","12.1","13/64","-","-"
"Religare Invesco Contra Fund","* * ","3.15","55/114","7.22","70/114","27.07","80/112","29.75","38/52","14.8","37/48","-","-"
"Religare Invesco Dynamic Equity Fund","* * * ","2.3","16/135","5.96","48/135","19.83","64/125","23.59","36/66","12.75","32/61","-","-"
"Religare Invesco Global Equity Income Fund - Regular Plan","Unrated","-1.7","-","-1.58","-","4.83","-","-","-","-","-","-","-"
"Religare Invesco Growth Fund","* * * * ","1.48","45/135","6.02","45/135","24.8","27/125","26.19","18/66","14.34","13/61","-","-"
"Religare Invesco Infrastructure Fund","* * * * * ","0.58","39/43","0.79","43/43","22.29","10/43","27.75","2/22","10.42","4/20","-","-"
"Religare Invesco Mid Cap Fund","* * * * ","2.17","83/114","7.36","68/114","33.33","60/112","35.31","21/52","20.69","9/48","-","-"
"Religare Invesco Mid N Small Cap Fund","* * * * ","2.46","76/114","7.18","72/114","32.76","62/112","36.44","15/52","21.47","6/48","-","-"
"Religare Invesco Nifty Exchange Traded Fund","Unrated","-0.03","93/148","2.37","96/145","7.9","106/143","18.57","48/75","-","-","-","-"
"Religare Invesco Pan European Equity Fund - Regular Plan","Unrated","-2.94","-","-1.77","-","1.36","-","-","-","-","-","-","-"
"Religare Invesco PSU Equity Fund","Unrated","5.39","-","10.28","-","20.87","-","16.03","-","5.84","-","-","-"
"Religare Invesco Tax Plan","* * * * ","2.22","19/75","7.04","21/75","27.3","19/73","29.18","7/37","16.47","5/36","-","-"
"Sahara Banking and Financial Services Fund","* * * ","-1.28","24/29","2.52","23/29","14.69","19/23","18.89","9/13","9.69","7/10","-","-"
"Sahara Growth Fund","* ","0.33","102/135","4.04","96/135","2.08","124/125","16.59","63/66","8.67","58/61","15.91","20/28"
"Sahara Infrastructure Fund - Fixed Pricing Option","* ","3.22","8/43","7.94","9/43","7.97","39/43","15.06","19/22","2.4","18/20","-","-"
"Sahara Infrastructure Fund - Variable Pricing Option","* * ","3.39","6/43","8.47","4/43","9.34","37/43","16.28","18/22","3.4","16/20","-","-"
"Sahara Midcap Fund","* ","5.23","19/114","7.2","71/114","17.42","106/112","26.08","44/52","12.49","41/48","16.67","15/20"
"Sahara Power & Natural Resources Fund","Unrated","2.34","-","5.9","-","0.72","-","13.08","-","2.41","-","-","-"
"Sahara R.E.A.L Fund","Unrated","3.26","-","5.24","-","22.96","-","27.06","-","11.77","-","-","-"
"Sahara Star Value Fund","Unrated","3.44","43/114","5.4","95/114","-0.14","111/112","17.23","52/52","6.97","48/48","-","-"
"Sahara Super 20 Fund","Unrated","2.34","9/148","6.18","12/145","5.8","135/143","15.43","72/75","8.34","60/64","-","-"
"Sahara Tax Gain Fund","* ","1.88","29/75","7.58","13/75","6.94","73/73","19.68","36/37","11.03","28/36","16.72","5/19"
"Sahara Wealth Plus Fund - Fixed Pricing Option","* * * * ","1.64","33/61","5.51","42/61","20.04","41/56","24.96","16/28","12.88","10/26","-","-"
"Sahara Wealth Plus Fund - Variable Pricing Option","* * * * ","1.81","30/61","6.04","38/61","21.61","30/56","26.31","13/28","14","6/26","-","-"
"SBI Banking & Financial Services Fund - Regular Plan","Unrated","-0.25","15/29","3.39","16/29","-","-","-","-","-","-","-","-"
"SBI Bluechip Fund","* * * * ","1.16","66/135","5.9","50/135","25.03","24/125","27.55","9/66","14.66","9/61","-","-"
"SBI Contra Fund","* * ","1.69","35/135","3.59","107/135","19.56","67/125","20.82","51/66","8.79","54/61","16.04","19/28"
"SBI Emerging Businesses Fund","* * * ","1.14","105/114","1.82","112/114","18.73","104/112","24.13","49/52","18.48","20/48","16.56","16/20"
"SBI ETF Banking Fund","Unrated","-0.59","20/29","3.45","14/29","-","-","-","-","-","-","-","-"
"SBI ETF BSE 100 Fund","Unrated","0.36","66/148","2.45","90/145","-","-","-","-","-","-","-","-"
"SBI ETF Nifty","Unrated","-","-","-","-","-","-","-","-","-","-","-","-"
"SBI ETF Nifty Junior Fund","Unrated","3.08","15/61","8.58","13/61","-","-","-","-","-","-","-","-"
"SBI FMCG Fund","Unrated","3.59","2/4","2.93","2/4","16.13","4/4","20.87","1/2","21.69","1/2","19.67","2/2"
"SBI Infrastructure Fund","* ","2.99","14/43","2.52","36/43","16.6","21/43","16.6","17/22","2.41","17/20","-","-"
"SBI IT Fund","Unrated","1.3","8/10","1.82","10/10","16.38","4/10","30.05","2/5","16.34","2/5","15.28","3/5"
"SBI Magnum COMMA Fund","Unrated","2.23","-","2.77","-","0.82","-","8.83","-","1.18","-","-","-"
"SBI Magnum Equity Fund","* * * * ","0.14","72/148","3.7","64/145","18.19","31/143","21.38","18/75","12.16","12/64","17.54","3/35"
"SBI Magnum Global Fund","* * * * ","1.85","91/114","5.71","92/114","35.11","51/112","34.79","23/52","19.9","13/48","20.45","3/20"
"SBI Magnum Midcap Fund","* * * * * ","2.82","63/114","11.92","7/114","42.67","13/112","41.87","2/52","21.05","7/48","17.84","11/20"
"SBI Magnum Multicap Fund","* * * ","2.62","12/135","6.99","26/135","28.04","11/125","27.41","10/66","12.72","33/61","-","-"
"SBI Magnum Multiplier Fund","* * * * ","0.89","75/135","7.89","15/135","27.53","16/125","27.91","6/66","14.04","15/61","19.19","4/28"
"SBI Magnum Taxgain Scheme","* * * ","-0.23","69/75","6.86","25/75","19.9","46/73","25.63","15/37","13.77","12/36","16.81","4/19"
"SBI Nifty Index Fund","* * ","-0.06","102/148","2.01","124/145","6.86","124/143","17.46","67/75","8.85","50/64","12.84","26/35"
"SBI Pharma Fund","Unrated","1.61","4/6","8.8","2/6","46.7","2/6","39.77","1/3","28.07","1/3","18.92","2/3"
"SBI PSU Fund","Unrated","2.2","-","3.67","-","-0.23","-","7.43","-","-0.81","-","-","-"
"SBI Sensex ETF","Unrated","-0.59","128/148","2.23","114/145","7.87","108/143","-","-","-","-","-","-"
"SBI Small & Midcap Fund","Unrated","6.75","4/114","11.37","15/114","54.71","2/112","44.77","1/52","23.95","2/48","-","-"
"Sundaram Entertainment Opportunities Fund - Regular Plan","Unrated","8.2","-","15.32","-","19.89","-","25.59","-","6.1","-","-","-"
"Sundaram Equity Multiplier Fund","* * ","1.88","90/114","6.5","78/114","22.62","97/112","21.96","50/52","10.78","45/48","-","-"
"Sundaram Equity Plus Fund","Unrated","-0.71","-","1.12","-","3.38","-","8.71","-","-","-","-","-"
"Sundaram Financial Services Opportunities Fund - Regular Plan","* * ","-0.08","13/29","3.22","19/29","19.72","12/23","19.46","7/13","9.18","8/10","-","-"
"Sundaram Global Advantage Fund","Unrated","-5.84","-","-12.43","-","-13.8","-","2.89","-","5.17","-","-","-"
"Sundaram Growth Fund - Regular Plan","* ","-0.87","128/135","-0.07","128/135","2.18","122/125","14.11","66/66","5.92","60/61","12.14","27/28"
"Sundaram Infrastructure Advantage Fund - Regular Plan","Unrated","3.77","1/43","8.74","1/43","21.87","13/43","16.92","16/22","0.55","19/20","-","-"
"Sundaram PSU Opportunities Fund","Unrated","1.21","-","4.09","-","7.27","-","9.56","-","2.54","-","-","-"
"Sundaram Rural India Fund - Regular Plan","Unrated","3.48","-","9.73","-","24.53","-","24.57","-","12.5","-","-","-"
"Sundaram S.M.I.L.E. Fund - Regular Plan","* * ","5.95","11/114","8.22","51/114","43.68","10/112","36.23","16/52","16.18","30/48","19.29","6/20"
"Sundaram Select Focus Fund - Regular Plan","* ","1.34","34/148","4.59","45/145","10.37","71/143","18.31","51/75","7.85","63/64","15.02","13/35"
"Sundaram Select Midcap Fund - Regular Plan","* * * ","3.95","36/114","11.65","13/114","38.54","30/112","35.27","22/52","19.12","17/48","22.54","1/20"
"Sundaram Taxsaver","* * ","2.27","17/75","8.18","7/75","23.44","32/73","22.76","29/37","11.55","25/36","16.96","3/19"
"Tata Dividend Yield Fund - Regular Plan","* * * ","1.39","36/61","4.13","52/61","22.35","28/56","21.7","22/28","13.55","7/26","16.57","6/15"
"Tata Equity Opportunities Fund - Regular Plan","* * * ","2.04","26/135","5.94","49/135","23.62","34/125","25.06","28/66","13.24","23/61","16.09","18/28"
"Tata Equity PE Fund - Regular Plan","* * ","1.44","98/114","3.52","108/114","20.79","102/112","27.6","41/52","13.95","40/48","18.38","8/20"
"Tata Ethical Fund - Regular Plan","* * * * * ","1.2","44/61","5.59","41/61","25.4","19/56","27.72","4/28","15.61","4/26","17.58","4/15"
"Tata Index Nifty Fund - Regular Plan","* * ","-0.05","99/148","2.33","101/145","7.13","121/143","17.6","64/75","8.94","48/64","13.82","19/35"
"Tata Index Sensex Fund - Regular Plan","* * ","-0.68","136/148","2.02","122/145","5.39","137/143","17.56","65/75","8.69","54/64","12.87","25/35"
"Tata Infrastructure Fund - Regular Plan","* * * ","1.63","29/43","5.26","23/43","22.12","11/43","17.69","15/22","4.87","12/20","13.75","2/3"
"Tata Midcap Growth Fund - Regular Plan","* * * ","2.75","67/114","7.61","64/114","38.48","31/112","35.75","18/52","18.55","19/48","16.82","13/20"
"Tata Pure Equity Fund - Regular Plan","* * * * ","1.56","27/148","5.77","19/145","17.1","36/143","20.69","21/75","11.26","17/64","16.72","7/35"
"Tata Retirement Savings Fund - Progressive Plan - Regular Plan","* * ","1.34","54/135","4.08","94/135","21.62","48/125","21.06","50/66","-","-","-","-"
"Tata Tax Saving Fund","* * * * ","2.24","18/75","6.4","31/75","25.45","26/73","25.76","14/37","14.97","8/36","14.34","11/19"
"Taurus Banking & Financial Services Fund - Regular Plan","* * ","-0.64","21/29","1.06","25/29","10.8","21/23","16.91","11/13","-","-","-","-"
"Taurus Bonanza Fund - Regular Plan","* ","1.31","56/135","6.52","30/135","19.41","70/125","20.24","53/66","9.2","50/61","12.14","28/28"
"Taurus Discovery Fund - Regular Plan","* * ","3.06","59/114","10.61","23/114","35.59","46/112","33.98","26/52","14.82","36/48","8.97","20/20"
"Taurus Ethical Fund - Regular Plan","* * * ","0.02","116/135","4.81","83/135","22.18","45/125","25.3","26/66","12.08","39/61","-","-"
"Taurus Infrastructure Fund - Regular Plan","* * * ","0.54","40/43","4.22","29/43","14.45","28/43","18.99","12/22","4.97","11/20","-","-"
"Taurus Nifty Index Fund - Regular Plan","Unrated","-0.1","106/148","2.17","117/145","7.43","115/143","17.72","63/75","8.7","53/64","-","-"
"Taurus Starshare Fund - Regular Plan","* * ","0.81","80/135","6.81","28/135","18.16","86/125","22.61","40/66","11.66","40/61","15.63","24/28"
"Taurus Tax Shield Fund - Regular Plan","* ","1.56","31/75","5.79","40/75","15.81","62/73","19.74","35/37","9.94","34/36","11.91","16/19"
"Templeton India Equity Income Fund","* * ","-0.85","114/114","-1.99","114/114","13.52","110/112","20.3","51/52","12.27","43/48","-","-"
"Templeton India Growth Fund","* * ","3.39","14/61","8.44","15/61","20.12","38/56","22.23","21/28","10.66","19/26","16.79","5/15"
"Union KBC Equity Fund","* * ","-0.5","122/135","1.21","125/135","7.28","119/125","19.71","54/66","-","-","-","-"
"Union KBC Small and Midcap Fund - Regular Plan","Unrated","2.36","80/114","6.25","86/114","21.9","99/112","-","-","-","-","-","-"
"Union KBC Tax Saver Fund","* * * ","0.24","60/75","3.13","67/75","14.52","65/73","23.43","24/37","-","-","-","-"
"UTI Banking Sector Fund - Regular Plan","* * * ","-0.06","10/29","3.69","10/29","17.44","16/23","19.07","8/13","10.96","6/10","15.99","3/3"
"UTI Dividend Yield Fund","* ","1.22","64/135","2.69","119/135","10.56","111/125","16.28","64/66","9.71","48/61","16.37","17/28"
"UTI Energy Fund","Unrated","0.95","-","6.63","-","1.85","-","12.74","-","1.91","-","-","-"
"UTI Equity Fund","* * * * * ","1","48/148","4.79","41/145","19.17","22/143","23.86","4/75","14.96","2/64","16.83","5/35"
"UTI Equity Tax Savings Fund","* * ","1.48","36/75","5.48","45/75","17.19","58/73","21.45","33/37","11.2","27/36","11.97","15/19"
"UTI India Lifestyle Fund","Unrated","0.65","-","3.07","-","11.35","-","19.08","-","12.58","-","-","-"
"UTI Infrastructure Fund","* * ","0.27","42/43","5.15","24/43","15.83","24/43","19.44","11/22","4.34","13/20","11.91","3/3"
"UTI Leadership Equity Fund","* * * ","0.78","54/148","4.27","55/145","13.58","53/143","20.84","20/75","10.51","26/64","-","-"
"UTI Mastershare Fund","* * * * ","1.54","28/148","4.02","60/145","18.38","28/143","21.69","14/75","12.19","11/64","14.98","14/35"
"UTI Mid Cap Fund","* * * * ","3.02","60/114","7.51","66/114","38.69","29/112","39.62","7/52","20.33","12/48","17.91","9/20"
"UTI MNC Fund","Unrated","3.92","-","8.95","-","47.55","-","33.43","-","22.94","-","20.18","-"
"UTI Multi Cap Fund - Regular Plan","Unrated","0.79","82/135","3.84","100/135","-","-","-","-","-","-","-","-"
"UTI Nifty Index Fund","* * * ","-0.06","100/148","2.25","109/145","8.07","103/143","18.32","50/75","9.22","41/64","13.71","20/35"
"UTI Opportunities Fund","* * * * * ","-0.44","120/148","0.72","138/145","10.91","65/143","19.76","30/75","13.8","4/64","16.73","6/35"
"UTI Pharma & Healthcare Fund","Unrated","1.38","6/6","3.53","6/6","33.6","6/6","30.6","3/3","20.97","3/3","17.74","3/3"
"UTI Top 100 Fund","* * * * ","1.74","21/148","4.42","50/145","20.18","14/143","21.95","13/75","12.81","5/64","-","-"
"UTI Transportation and Logistics Fund","Unrated","2.53","-","6.88","-","38.08","-","46.87","-","26.4","-","19.79","-"
"UTI Wealth Builder Fund - Series II - Retail Plan","Unrated","-0.32","-","1.16","-","3.63","-","9.84","-","9.43","-","-","-"
