"Value Research Online"
"Date: 28-Jul-2015 14:48"
"Fund","Rating","1-Month Return","1-Month Rank","3-Month Return","3-Month Rank","1-Year Return","1-Year Rank","3-Year Return","3-Year Rank","5-Year Return","5-Year Rank","10-Year Return","10-Year Rank"
"BOI AXA Equity Fund - Regular Plan","* * * ","0.95","51/148","2.07","121/145","11.94","59/143","19.7","31/75","9.33","39/64","-","-"
"BOI AXA Focused Infrastructure Fund","* * ","1.87","24/43","6.18","17/43","14.1","30/43","18.01","14/22","3.51","14/20","-","-"
"BOI AXA Tax Advantage Fund - Regular Plan","* * * ","0.65","53/75","5.33","48/75","20.3","45/73","23.62","22/37","10.99","29/36","-","-"
"Canara Robeco Emerging Equities Fund - Regular Plan","* * * * * ","4.97","21/114","11.04","17/114","41.38","18/112","39.55","8/52","22.84","3/48","19.27","7/20"
"Canara Robeco Equity Diversified Fund - Regular Plan","* * * ","2.87","6/135","6.7","29/135","17.02","98/125","21.28","49/66","12.85","31/61","17.34","11/28"
"Canara Robeco Equity Tax Saver Fund - Regular Plan","* * * ","2.5","13/75","6.38","32/75","18.82","51/73","22.83","28/37","13.43","14/36","19.73","1/19"
"Canara Robeco F.O.R.C.E Fund - Regular Plan","Unrated","2.91","-","9.49","-","32.06","-","26.45","-","15.7","-","-","-"
"Canara Robeco Infrastructure Fund - Regular Plan","* * * * ","3.53","4/43","7.58","12/43","24.73","5/43","23.25","6/22","11.5","2/20","-","-"
"Canara Robeco Large Cap+ Fund - Regular Plan","* * * ","1.94","13/148","5.3","28/145","15.28","46/143","19.45","33/75","-","-","-","-"
"DSP BlackRock Equity Fund","* * * ","3.57","12/61","6.32","33/61","19.34","42/56","23.23","18/28","12.07","16/26","19.2","1/15"
"DSP BlackRock Focus 25 Fund","* * * ","1.25","61/135","7.76","17/135","27.09","17/125","25.73","22/66","11.41","42/61","-","-"
"DSP BlackRock Global Allocation Fund - Regular Plan","Unrated","-1.69","-","-3.19","-","-","-","-","-","-","-","-","-"
"DSP BlackRock Micro Cap Fund - Regular Plan","* * * * ","3.68","38/114","8","54/114","48.24","5/112","40.38","4/52","20.46","11/48","-","-"
"DSP BlackRock Natural Resources and New Energy Fund - Regular Plan","Unrated","4.25","-","6.88","-","11.16","-","15.66","-","6.6","-","-","-"
"DSP BlackRock Opportunities Fund","* * * ","2.75","9/135","8.09","10/135","24.18","28/125","26.43","14/66","12.49","36/61","17.38","10/28"
"DSP BlackRock Small and Mid Cap Fund - Regular Plan","* * ","5.42","17/114","10.81","21/114","34.33","56/112","32.22","32/52","16.99","25/48","-","-"
"DSP BlackRock T.I.G.E.R. Fund - Regular Plan","* * * * ","3.01","13/43","6.14","18/43","19.98","17/43","23.11","7/22","8.41","6/20","15.92","1/3"
"DSP BlackRock Tax Saver Fund","* * * * ","2.65","10/75","7.83","12/75","22.38","37/73","27.88","8/37","14.01","10/36","-","-"
